Order;Prénom et Nom;Fonction;Axes de recherche;Axes de recherche2;Axes de recherche3;Photo
1;Nelly QUEMENER;Professeur·e des universités;Espaces publics, politique genre ;;;
2;Olivier Aïm;Maître·sse de conférences;;Oui;;
3;Karine Berthelot-Guiet;Professeure des universités;;;;
4;Lisa Bolz;;;;;
5;Françoise Boursin;Professeur des universités;;;;
6;Juliette Charbonneaux;Maître de conférences;;;;
7;Jacqueline Chervin;Maître de conférences;;Oui;;
8;Sophie Corbillé;Professeure des universités;;Oui;;
9;Nicole D'Almeida;Professeur des universités, Professeur délégué E MBA Paris-Sorbonne Celsa;;;;
10;Hervé Demailly;Maître de conférences;;;;
11;Oriane Deseilligny;Maître de conférences ;;Oui;;
12;Thierry Devars;Maître de conférences;;Oui;;
13;Pauline Escande-Gauquié;Maître de conférences;;Oui;;
14;Emmanuelle Fantin;Maîtresse de conférences;;Oui;;
15;Pascaline Faure;Maître de Conférences HDR;;;;
16;Olivia Foli;Maîtresse de conférences;;Oui;;
17;Pascal Froissart;Professeur des universités;;Oui;;
18;Valérie Jeanne-Perrier;Professeur des universités;;;;
19;Virginie Julliard;Professeure des Universités;;;;
20;Rym Kyreche;;;;;
21;Isabelle Le Breton- Falézan;Maître de conférences;;;;
22;"Caroline Marti (anciennes publications "" de Montety "" )";Professeure des universités en Sciences de l'Information et de la Communication;;Oui;;
23;Bruno Ollivier;Professeur des universités;;Oui;;
24;Dominique Pagès;Maître de conférences;;Oui;;
25;Valérie Patrin-Leclère;Maître de conférences;;Oui;;
26;Laurent Petit;Professeur des universités;;Oui;;
27;Véronique Richard;Professeur des universités;;;;
28;Camille Rondot;Maîtresse de conférences en SIC;;Oui;;
29;Denis Ruellan;Professeur des universités;;;;
30;Emmanuël Souchier;Professeur des universités;;;;
31;Julien Tassel;Maître de conférences;;Oui;;
32;Hécate Vergopoulos;Maître de conférences;;Oui;;
33;Adeline Wrona;Professeure des universités;;Oui;;
34;Francis Yaiche;Professeur des universités;;Oui;;
35;Ambre Abid-Dalençon;;;Oui;;
36;Camille Brachet;Maîtresse de conférences;;;;
37;Anneliese Depoux;Docteur en Sciences de l'information et de la communication;;Oui;;
38;Maxime Fabre;;;Oui;;
39;Ronan German;Docteur en sciences de l'information et de la communication;;Oui;;
40;Pergia Gkouskou;Maître de conférences en sciences de l'information et de la communication;;Oui;;
41;Samuel Goyet;Docteur en sciences de l'information et de la communication;;Oui;;
42;Pierre-Carl Langlais;Docteur en sciences de l'information et de la communication;;;;
43;Alexis Lévrier;Maître de conférences;;;;
44;Florian Malaterre;Docteur en sciences de l'information et de la communication;;;;
45;Bérénice Mariau;;;;;
46;Marion Mauger-Parat;Docteure en sciences du langage;;Oui;;
47;Marion Rollandin;Docteur en Sciences de l'Information et de la Communication;;Oui;;
48;Emeline Seignobos;Docteur en sciences de l'information et de la communication;;;;
49;Elsa Tadier;Docteur en sciences de l'information et de la communication;;;;
50;Koceila Amer;;;;;
51;John Augeri;;;Oui;;
52;Laura Avadar;;;;;
53;Mariana Ayres Tavares;;;;;
54;Sophie BONNAUD-LE ROUX;;;Oui;;
55;Idil Basural;;;Oui;;
56;Margot Besnier;;;;;
57;Johan Boittiaux;;;Oui;;
58;Antoine Bonino;;;Oui;;
59;Pauline Brouard;;;Oui;;
60;Emmanuelle Bruneel;;;Oui;;
61;Vitaly Buduchev;;;Oui;;
62;Pascal Bue;;;Oui;;
63;Johanna Cappi;;;Oui;;
64;Pauline Chasseray-Peraldi;;;Oui;;
65;Clotilde Chevet;;;Oui;;
66;Farah Clémentine Dramani-Issifou;;;Oui;;
67;C. Brice Angelo Dan;;;;;
68;Judith Dehail;;;Oui;;
69;Youssef Ennahi;;;;;
70;Maud Fontaine;;;Oui;;
71;Inès Garmon;;;;;
72;Thomas Grignon;;;Oui;;
73;Pierre-Yves Halin;;;Oui;;
74;Sarah Kitar;;;Oui;;
75;Junghwan Lee;;;;;
76;Jeremy Lucas-Boursier;;;;;
77;Ugo Moret;;;;;
78;Talía Olvera Martinez;;;;;
79;Matthieu Parelon;;;Oui;;
80;Suzanne Penin;;;;;
81;Eloïsa Perez;;;;;
82;Cassio Queiroz Magalhaes Campos;;;Oui;;
83;Katia Raya;;;Oui;;
84;Lucie Raymond;;;;;
85;Anita Saleh Bolourdi;;;Oui;;
86;Laurence Salvator;;;Oui;;
87;Charles Sarraute;;;;;
88;Greta Travagliati;;;;;
89;Mathilde Vassor;;;Oui;;
90;Laura Verquere;;;Oui;;
91;Yuwen ZHANG;;;Oui;;
92;Myrna Zougheib Rabbat;;;Oui;;
