Order;Prénom et Nom;Fonction;Axes de recherche;Axes de recherche2;Axes de recherche3;Photo
1;Nelly QUEMENER;Professeur·e des universités;Espaces publics, politique genre ;;;https://kit-117.sorbonne-universite.fr/sites/default/files/styles/large/public/media/2022-12/Nelly%20Quemener-min.jpg?itok=0Fn8FMU2
2;Olivier Aïm;Maître·sse de conférences;;Oui;;https://kit-117.sorbonne-universite.fr/sites/default/files/styles/large/public/media/2025-04/olivier_aim_web.jpg?itok=lbv15HVi
3;Karine Berthelot-Guiet;Professeure des universités;;;;https://kit-117.sorbonne-universite.fr/sites/default/files/styles/large/public/media/2022-12/Karine%20Berthelot-Guiet.jpg?itok=rBSEUNYE
4;Lisa Bolz;;;;;https://kit-117.sorbonne-universite.fr/sites/default/files/styles/large/public/media/2025-04/lisa-bolz_web.jpg?itok=OW7hWRAk
5;Françoise Boursin;Professeur des universités;;;;
6;Juliette Charbonneaux;Maître de conférences;;;;https://kit-117.sorbonne-universite.fr/sites/default/files/styles/large/public/media/2025-04/juliette_charbonneaux_web.jpg?itok=gONRRrth
7;Jacqueline Chervin;Maître de conférences;;Oui;;
8;Sophie Corbillé;Professeure des universités;;Oui;;https://kit-117.sorbonne-universite.fr/sites/default/files/styles/large/public/media/2025-04/sophie_corbille_web.jpg?itok=TKpabJeh
9;Nicole D'Almeida;Professeur des universités, Professeur délégué E MBA Paris-Sorbonne Celsa;;;;https://kit-117.sorbonne-universite.fr/sites/default/files/styles/large/public/media/2025-04/nicole_dalmeida.jpg?itok=DjK1g3th
10;Hervé Demailly;Maître de conférences;;;;
11;Oriane Deseilligny;Maître de conférences ;;Oui;;
12;Thierry Devars;Maître de conférences;;Oui;;https://kit-117.sorbonne-universite.fr/sites/default/files/styles/large/public/media/2025-04/thierry_devars_web.jpg?itok=MGVsWHCA
13;Pauline Escande-Gauquié;Maître de conférences;;Oui;;https://kit-117.sorbonne-universite.fr/sites/default/files/styles/large/public/media/2025-04/pauline-escande-gauquie.jpg?itok=z1olcPhq
14;Emmanuelle Fantin;Maîtresse de conférences;;Oui;;https://kit-117.sorbonne-universite.fr/sites/default/files/styles/large/public/media/2025-06/emmanuelle-fantin2_web.jpg?itok=1scYh_pK
